Path                                                         | Lines | Size   | Status     | Title
------------------------------------------------------------------------------------------------------------------------
docs/00-vision/DOC-000 Product Vision.md                     | 199   | 6167   | Draft      | Product Vision
docs/00-vision/DOC-001 Mission.md                            | 172   | 4925   | Draft      | Mission
docs/00-vision/DOC-002 Core Values.md                        | 248   | 6056   | Draft      | Core Values
docs/00-vision/DOC-003 Product Philosophy.md                 | 321   | 8620   | Draft      | Product Philosophy
docs/00-vision/DOC-004 Success Metrics.md                    | 247   | 4633   | Draft      | Success Metrics
docs/00-vision/DOC-005 Product Roadmap.md                    | 231   | 3982   | Draft      | Product Roadmap
docs/10-business/DOC-100 Business Model.md                   | 84    | 6788   | Draft      | Business Model
docs/10-business/DOC-101 Pricing.md                          | 88    | 5887   | Draft      | Pricing
docs/10-business/DOC-102 Subscription.md                     | 75    | 5839   | Draft      | Subscription Management
docs/10-business/DOC-103 Marketplace.md                      | 79    | 6552   | Draft      | Recipe & Meal Plan Marketplace
docs/10-business/DOC-104 Affiliate.md                        | 74    | 6803   | Draft      | Affiliate Integration
docs/10-business/DOC-105 Advertisement.md                    | 77    | 6424   | Draft      | Advertisement & Sponsorship Management
docs/10-business/DOC-106 International.md                    | 75    | 6589   | Draft      | Internationalization & Localization Strategy
docs/10-business/DOC-107 Financial Projection.md             | 72    | 5436   | Draft      | Financial Projection (3-Year Plan)
docs/15-research/DOC-150 Research Framework.md               | 232   | 5079   | Draft      | Research Framework
docs/15-research/Revolut.md                                  | 107   | 11444  | Draft      | Revolut Competitor Analysis
docs/15-research/Samsung Food.md                             | 110   | 12744  | Draft      | Samsung Food Competitor Analysis
docs/15-research/YNAB.md                                     | 104   | 10355  | Draft      | YNAB (You Need A Budget) Competitor Analysis
docs/20-product/DOC-200 PRD.md                               | 70    | 3456   | Draft      | Product Requirement Document (PRD)
docs/20-product/DOC-201 Personas.md                          | 60    | 2321   | Draft      | User Personas
docs/20-product/DOC-202 User Journey.md                      | 61    | 2382   | Draft      | User Journey Map
docs/20-product/DOC-203 User Stories.md                      | 63    | 2773   | Draft      | User Stories
docs/20-product/DOC-204 Feature List.md                      | 75    | 2858   | Draft      | Feature List & Prioritization
docs/20-product/DOC-205 Product Scope.md                     | 60    | 2148   | Draft      | Product Scope Specification
docs/20-product/DOC-206 Release Plan.md                      | 60    | 2256   | Draft      | Release Plan
docs/25-domain/DOC-250 Ingredient.md                         | 74    | 3361   | Draft      | Ingredient Domain Specification
